Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
3,24/03/2019,0,5,BLR ? DEL,22:20,01:10 22 Mar,2h 50m,4,8,-0.6306369785794814
1,1/05/2019,3,0,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,1,8,-0.10005636978579481
4,9/06/2019,2,1,DEL ? LKO ? BOM ? COK,09:25,04:25 10 Jun,19h,1,8,0.7764937993235626
3,12/05/2019,3,0,CCU ? NAG ? BLR,18:05,23:30,5h 25m,0,8,-0.3035512965050733
3,01/03/2019,0,5,BLR ? NAG ? DEL,16:50,21:35,4h 45m,0,8,0.6947576099210823
8,24/06/2019,3,0,CCU ? BLR,09:00,11:25,2h 25m,4,8,-0.6340191657271702
4,12/03/2019,0,5,BLR ? BOM ? DEL,18:55,10:25 13 Mar,15h 30m,0,5,0.3826099210822999
4,01/03/2019,0,5,BLR ? BOM ? DEL,08:00,05:05 02 Mar,21h 5m,0,8,1.9585682074408117
4,12/03/2019,0,5,BLR ? BOM ? DEL,08:55,10:25 13 Mar,25h 30m,0,5,0.3826099210822999
6,27/05/2019,2,1,DEL ? BOM ? COK,11:25,19:15,7h 50m,0,8,0.03565388951521984
1,1/06/2019,2,1,DEL ? BLR ? COK,09:45,23:00,13h 15m,0,8,0.0753945885005637
3,18/04/2019,3,0,CCU ? BLR,20:20,22:55,2h 35m,4,8,-0.5916009019165727
1,24/06/2019,1,4,MAA ? CCU,11:40,13:55,2h 15m,4,8,-0.5221251409244645
4,9/05/2019,3,0,CCU ? BOM ? BLR,21:10,09:20 10 May,12h 10m,0,5,0.18193348365276213
3,24/04/2019,3,0,CCU ? BLR,17:15,19:50,2h 35m,4,8,-0.5028184892897407
1,3/03/2019,2,1,DEL ? AMD ? BOM ? COK,16:40,19:15 04 Mar,26h 35m,1,8,0.7946730552423901
8,15/04/2019,2,1,DEL ? PNQ ? COK,08:45,13:15,4h 30m,0,8,-0.35822998872604284
4,12/06/2019,2,1,DEL ? BOM ? COK,14:00,12:35 13 Jun,22h 35m,0,5,0.2663472378804961
1,12/06/2019,2,1,DEL ? CCU ? BOM ? COK,20:15,19:15 13 Jun,23h,1,8,0.705890642615558
4,27/05/2019,2,1,DEL ? BOM ? COK,16:00,12:35 28 May,20h 35m,0,5,0.6378241262683202
2,6/03/2019,2,1,DEL ? BOM ? COK,14:10,19:20,5h 10m,0,8,1.5675028184892899
1,21/03/2019,0,5,BLR ? COK ? DEL,22:00,13:20 19 Mar,15h 20m,0,8,-0.19968996617812854
3,3/04/2019,0,2,BLR ? DEL,04:00,06:50,2h 50m,4,8,-0.6241544532130778
3,1/05/2019,0,2,BLR ? DEL,18:55,21:50,2h 55m,4,8,-0.500140924464487
4,6/05/2019,3,0,CCU ? BOM ? BLR,18:55,08:15 07 May,13h 20m,0,5,-0.08666854565952649
4,9/06/2019,2,1,DEL ? IDR ? BOM ? COK,21:25,12:35 10 Jun,15h 10m,1,8,0.6933483652762119
3,1/06/2019,2,1,DEL ? LKO ? COK,21:50,03:35 02 Jun,5h 45m,0,8,-0.018883878241262683
2,15/05/2019,2,1,DEL ? BOM ? COK,07:00,12:55,5h 55m,0,8,-0.09723788049605411
10,18/06/2019,0,2,BLR ? DEL,09:45,12:35,2h 50m,4,8,-0.5219842164599775
10,15/06/2019,1,4,MAA ? CCU,07:05,09:20,2h 15m,4,8,-0.6602311161217588
10,18/06/2019,1,4,MAA ? CCU,07:05,09:20,2h 15m,4,8,-0.6602311161217588
1,1/05/2019,3,0,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,1,8,0.6841882750845547
3,6/04/2019,0,2,BLR ? DEL,04:00,06:50,2h 50m,4,8,-0.556510710259301
4,15/06/2019,2,1,DEL ? NAG ? BOM ? COK,14:35,12:35 16 Jun,22h,1,5,0.358934611048478
4,18/05/2019,2,1,DEL ? BOM ? COK,07:05,12:35,5h 30m,0,5,0.5638387824126269
3,27/06/2019,2,1,DEL ? BOM ? COK,10:35,21:00,10h 25m,0,8,-0.3492108229988726
8,21/05/2019,3,0,CCU ? MAA ? BLR,15:05,20:20,5h 15m,0,8,-0.5246617812852311
1,18/05/2019,3,0,CCU ? BLR,14:15,16:45,2h 30m,4,8,-0.29974633596392336
4,06/03/2019,0,5,BLR ? BOM ? DEL,07:00,13:15,6h 15m,0,8,1.5294532130777903
4,3/06/2019,2,1,DEL ? BOM ? COK,07:05,19:00,11h 55m,0,8,0.923337091319053
6,21/05/2019,2,1,DEL ? HYD ? COK,07:05,18:10,11h 5m,0,8,0.17953776775648253
1,15/03/2019,0,5,BLR ? BOM ? DEL,06:45,15:15,8h 30m,0,8,0.04819616685456595
4,18/05/2019,2,1,DEL ? BOM ? COK,20:55,19:00 19 May,22h 5m,0,5,0.5638387824126269
0,6/05/2019,0,2,BLR ? DEL,11:10,13:55,2h 45m,4,8,-0.7030721533258174
6,21/03/2019,2,1,DEL ? BOM ? COK,09:00,21:00,12h,0,8,0.660935738444194
8,24/03/2019,0,5,BLR ? DEL,05:45,08:35,2h 50m,4,7,-0.6827790304396844
3,27/05/2019,0,2,BLR ? DEL,04:00,06:50,2h 50m,4,8,-0.6241544532130778
1,3/05/2019,1,4,MAA ? CCU,11:40,13:55,2h 15m,4,8,-0.5221251409244645
1,15/05/2019,3,0,CCU ? HYD ? BLR,19:00,11:05 16 May,16h 5m,0,8,-0.31778466741826383
4,27/06/2019,2,1,DEL ? AMD ? BOM ? COK,23:05,19:00 28 Jun,19h 55m,1,5,0.39148816234498307
4,9/03/2019,2,1,DEL ? COK,11:00,14:15,3h 15m,4,5,-0.1648816234498309
4,1/05/2019,3,0,CCU ? DEL ? BLR,09:35,10:55 02 May,25h 20m,0,8,0.528325817361894
3,24/03/2019,0,5,BLR ? DEL,22:20,01:10 28 Mar,2h 50m,4,8,-0.5629932356257046
3,18/06/2019,0,2,BLR ? DEL,21:15,00:15 19 Jun,3h,4,8,-0.6241544532130778
0,3/04/2019,0,2,BLR ? DEL,23:55,02:45 04 Apr,2h 50m,4,8,-0.548055242390079
4,24/03/2019,3,0,CCU ? BOM ? BLR,19:45,12:00 25 Mar,16h 15m,0,8,0.8256764374295378
1,01/03/2019,0,5,BLR ? BOM ? AMD ? DEL,08:50,23:55,15h 5m,1,8,1.2645152198421645
10,6/03/2019,1,4,MAA ? CCU,07:05,09:20,2h 15m,4,8,-0.13500563697857948
6,6/05/2019,2,1,DEL ? BOM ? COK,19:00,01:30 07 May,6h 30m,0,8,-0.04213641488162345
10,6/03/2019,4,3,BOM ? DEL ? HYD,15:40,16:45 07 Mar,25h 5m,0,8,0.5669391206313416
1,6/06/2019,3,0,CCU ? BOM ? BLR,09:25,21:50,12h 25m,0,8,-0.0008455467869222097
1,3/04/2019,2,1,DEL ? MAA ? COK,06:05,09:25 04 Apr,27h 20m,0,8,-0.4587091319052988
6,3/06/2019,2,1,DEL ? BOM ? COK,08:45,19:00,10h 15m,0,8,0.5851183765501691
3,15/05/2019,2,1,DEL ? BOM ? COK,15:00,01:30 16 May,10h 30m,0,8,-0.16643179255918827
10,24/05/2019,1,4,MAA ? CCU,07:05,09:20,2h 15m,4,8,-0.6602311161217588
3,24/06/2019,2,1,DEL ? BOM ? COK,10:35,21:00,10h 25m,0,8,-0.3492108229988726
10,24/04/2019,0,2,BLR ? DEL,09:45,12:35,2h 50m,4,8,-0.41840473506200676
1,6/05/2019,4,3,BOM ? HYD,13:55,15:25,1h 30m,4,8,-0.6689684329199549
1,21/05/2019,2,1,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,1,8,0.35076099210823
3,12/03/2019,1,4,MAA ? CCU,13:20,15:35,2h 15m,4,8,-0.29241826381059755
4,1/06/2019,4,3,BOM ? HYD,07:05,08:30,1h 25m,4,8,-0.37965050732807215
4,09/03/2019,0,5,BLR ? BOM ? DEL,05:45,08:15 13 Mar,26h 30m,0,5,0.10738444193912063
6,24/06/2019,2,1,DEL ? BOM ? COK,11:40,19:00,7h 20m,0,5,0.34089627959413754
4,24/06/2019,2,1,DEL ? AMD ? BOM ? COK,23:05,12:35 25 Jun,13h 30m,1,8,0.6266910935738444
3,21/03/2019,2,1,DEL ? BLR ? COK,05:05,10:05,5h,0,8,-0.20842728297632468
10,09/03/2019,0,5,BLR ? DEL,09:50,12:35,2h 45m,4,8,-0.15952649379932357
2,3/04/2019,0,2,BLR ? DEL,11:40,14:30,2h 50m,4,8,-0.6304960541149943
3,3/04/2019,4,3,BOM ? HYD,06:25,07:55,1h 30m,4,8,-0.6092164599774521
4,15/06/2019,2,1,DEL ? BOM ? COK,17:30,12:35 16 Jun,19h 5m,0,5,0.2663472378804961
8,21/03/2019,1,4,MAA ? CCU,08:20,10:35,2h 15m,4,7,-0.7102593010146562
